country_name,country_id,year,v2x_libdem_x,v2x_polyarchy,libdem_0_100,polyarchy_0_100,key,v2x_libdem_y,v2x_libdem_2014,delta_libdem,delta_libdem_0_100,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,WVS_Q57__Unnamed: 0,WVS_Q57__Unnamed: 1,WVS_Q57__Most people can be trusted,WVS_Q57__Need to be very careful,WVS_Q57__Don't know,GINI__Country,GINI__Code,GINI__LatestYear,GINI__LatestValue,WVS_Q61__Unnamed: 0,WVS_Q61__Unnamed: 1,WVS_Q61__Some or much trust,WVS_Q61__Little or no trust at all,WVS_Q61__Other missing; Refused,WVS_Q117__Unnamed: 0,WVS_Q117__Unnamed: 1,WVS_Q117__None of them,WVS_Q117__Few of them,WVS_Q117__None_or_few,WVS_Q117__Most of them,WVS_Q117__All of them,WVS_Q117__Most_or_all,WVS_Q117__Don't know,WVS_Q117__No answer,WVS_Q117__Missing; Not available,WVS_Q117__Missing; Not available.1,WVS_Q207__Unnamed: 0,WVS_Q207__Unnamed: 1,WVS_Q207__Daily,Polarization,Polarization_Level
Mauritania,65,2024,0.135,0.333,13.5,33.300000000000004,mauritania,0.135,0.176,-0.0409999999999999,-4.099999999999998,,,,5.97194330025359,12.33,,,8.515165980152155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,66,2024,0.744,0.842,74.4,84.2,canada,0.744,0.743,0.001,0.1,51.17,,52.5,76.2586212158203,91.78,91.38269137839848,,79.37690556909699,Canada,4018.0,46.7,53.3,0.0,Canada,CAN,2021.0,31.1,Canada,4018.0,49.5,50.5,0.0,Canada,4018.0,9.5,65.8,75.3,19.8,4.9,24.7,0.0,0.0,0.0,0.0,Canada,4018.0,54.2,34.78,Low Polarization
Australia,67,2024,0.808,0.857,80.80000000000001,85.7,australia,0.808,0.815,-0.0069999999999998,-0.6999999999999895,49.67,,51.17,104.64835357666,86.3,90.56606390901032,,83.01491600012133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,68,2024,0.478,0.594,47.8,59.4,botswana,0.478,0.608,-0.13,-13.0,,,,21.4087908549348,27.4,,,23.80527451296088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,69,2024,0.072,0.175,7.199999999999999,17.5,burundi,0.072,0.1,-0.028,-2.800000000000001,,,,6.02545976638794,21.92,,,12.383275859832764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,70,2024,0.649,0.757,64.9,75.7,cape verde,0.649,0.717,-0.0679999999999999,-6.799999999999995,,,,24.2905954414767,,,,24.2905954414767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,71,2024,0.1,0.302,10.0,30.2,central african republic,0.1,0.171,-0.071,-7.1000000000000005,,,,2.77519989013672,8.219999999999999,,,4.953119934082032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,72,2024,0.787,0.844,78.7,84.39999999999999,chile,0.787,0.849,-0.0619999999999999,-6.199999999999994,41.17,35.17,40.5,104.734062194824,83.56,85.48404134481194,,75.79858429683154,Chile,1000.0,12.9,85.0,1.9,Chile,CHL,2022.0,43.0,Chile,1000.0,25.6,73.8,0.6,Chile,1000.0,3.5,30.2,33.7,44.8,11.3,56.1,9.8,0.4,0.0,0.0,Chile,1000.0,39.6,59.16,High Polarization
Costa Rica,73,2024,0.805,0.859,80.5,85.9,costa rica,0.805,0.856,-0.0509999999999999,-5.099999999999993,35.83,30.67,35.0,55.0202903747559,72.6,81.74424643657511,,63.1874912564927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,74,2024,0.549,0.733,54.900000000000006,73.3,timor-leste,0.549,0.473,0.076,7.600000000000007,,,,30.9611108169641,32.879999999999995,,,31.728666490178465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,75,2024,0.446,0.651,44.6,65.10000000000001,ecuador,0.446,0.265,0.181,18.1,,,,67.8851161961618,87.67,77.04294693676056,14.0,68.22259493883799,Ecuador,1200.0,5.8,92.3,1.5,Ecuador,ECU,2024.0,45.2,Ecuador,1200.0,7.8,92.0,0.2,Ecuador,1200.0,6.6,51.4,58.0,26.8,12.2,39.0,2.9,0.1,0.0,0.6,Ecuador,1200.0,54.9,56.805,High Polarization
France,76,2024,0.799,0.866,79.9,86.6,france,0.799,0.82,-0.0209999999999999,-2.0999999999999908,45.5,45.5,47.83,70.4536437988281,80.82000000000001,90.44421366974083,44.7,70.78923203772055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,77,2024,0.792,0.839,79.2,83.89999999999999,germany,0.792,0.847,-0.0549999999999999,-5.499999999999994,46.5,45.67,48.67,78.5947494506836,97.26,91.43527763339128,43.3,74.11132347095905,Germany,3706.0,41.6,54.5,3.1,Germany,DEU,2020.0,32.4,Germany,3706.0,30.5,64.9,4.6,Germany,1528.0,6.9,58.2,65.1,24.9,2.9,27.8,6.7,0.3,0.0,7.1,Germany,1528.0,25.7,38.75,Low Polarization
