Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,v_MLI_check,missing_any,missing_which,over_100_vMLI,over_100_vMLI_check
Yemen,NA,NA,NA,8.80690002441406,15.07,NA,NA,11.312140014648437,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Comoros,NA,NA,NA,18.8190281456697,0,NA,NA,11.29141688740182,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
South Sudan,NA,NA,NA,NA,10.96,NA,NA,10.96,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|Media_Access|IT,FALSE,NA
Afghanistan,NA,NA,NA,10.85435962677,10.96,NA,NA,10.896615776062,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Equatorial Guinea,NA,NA,NA,1.84452998638153,23.29,NA,NA,10.422717991828918,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Congo (Brazzaville),NA,NA,NA,10.3812103271484,NA,NA,NA,10.3812103271484,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Guinea-Bissau,NA,NA,NA,2.62031006813049,21.92,NA,NA,10.340186040878294,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Africa Western and Central,NA,NA,NA,10.1902599334717,NA,NA,NA,10.1902599334717,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Gabon,NA,NA,NA,7.65526008605957,12.33,NA,NA,9.525156051635744,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Niger,NA,NA,NA,4.15170730347346,20.549999999999997,NA,6,9.36501741577434,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA
Papua New Guinea,NA,NA,NA,1.94981002807617,19.18,NA,NA,8.841886016845702,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Africa Eastern and Southern,NA,NA,NA,8.66186046600342,NA,NA,NA,8.66186046600342,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Mauritania,NA,NA,NA,5.97194330025359,12.33,NA,NA,8.515165980152155,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
